y,iqs_leg_scaled_left,iqs_leg_scaled_right,iqs_rev_scaled_left,iqs_rev_scaled_right,score_left,score_right
0.2357419108888889,1.9999999999923372,2.0000000000076628,2.998861657790561,3.001138342209439,0.9988347835946668,1.001165216405333
0.24436851074747473,1.9999999880724497,2.00000001192755,2.998665057361269,3.001334942638731,0.998983185548073,1.001016814451927
0.2529951106060606,1.9999981988722975,2.0000018011277025,2.9984574649981317,3.0015425350018683,0.9993793591938714,1.0006206408061284
0.2616217104646465,1.99997353883444,2.00002646116556,2.998222076639607,3.001777923360393,0.9997122381714052,1.0002877618285948
0.2702483103232323,1.9999600075098096,2.00003999249019,2.997900759384537,3.002099240615463,0.9998822721725761,1.000117727827424
0.2788749101818182,1.9999934440611027,2.0000065559388975,2.997973309060701,3.002026690939299,0.9999305455403524,1.0000694544596476
0.28750151004040403,1.9999979101777392,2.0000020898222606,2.9984745389208447,3.0015254610791553,0.999905123307246,1.000094876692754
0.2961281098989899,1.99997796172075,2.00002203827925,2.998687888730417,3.001312111269583,0.9998333959653717,1.0001666040346284
0.3047547097575758,1.9999751972417725,2.0000248027582272,2.998728050580685,3.001271949419315,0.999737830257392,1.000262169742608
0.3133813096161616,1.9999823269963082,2.000017673003692,2.9987915547991864,3.0012084452008136,0.9996378718934219,1.000362128106578
0.3220079094747475,1.9999724008920645,2.0000275991079355,2.998842037594553,3.001157962405447,0.99950928998491,1.0004907100150902
0.3306345093333334,1.9999710529992554,2.000028947000745,2.998898720536452,3.001101279463548,0.9993009350819326,1.0006990649180674
0.3392611091919192,1.999954489391113,2.000045510608887,2.998871289031658,3.001128710968342,0.9989969465181158,1.0010030534818843
0.3478877090505051,1.9999147383876783,2.000085261612322,2.998629881562169,3.001370118437831,0.9986462473384794,1.0013537526615206
0.3565143089090909,1.9997946748007347,2.0002053251992655,2.9984184316993034,3.0015815683006966,0.9982982045798161,1.001701795420184
0.3651409087676768,1.999652525720281,2.0003474742797187,2.998217569526452,3.001782430473548,0.9979145720042211,1.002085427995779
0.3737675086262627,1.999722816467443,2.000277183532557,2.997618126340916,3.002381873659084,0.9974326680098111,1.0025673319901889
0.3823941084848485,1.9996855219176077,2.0003144780823923,2.9963844696295685,3.0036155303704315,0.9968849632058823,1.0031150367941177
0.3910207083434344,1.9989048694364566,2.0010951305635434,2.9947216356044724,3.0052783643955276,0.9960755705372359,1.003924429462764
0.3996473082020202,1.9983832012890204,2.00161679871098,2.9931554918518,3.0068445081482,0.9943791926497697,1.0056208073502304
0.4082739080606061,1.9996200127829844,2.000379987217016,2.9922047978551105,3.0077952021448895,0.9912877138237337,1.0087122861762663
0.416900507919192,1.999950927343513,2.0000490726564872,2.991006653112984,3.008993346887016,0.9869656576202803,1.0130343423797197
0.4255271077777778,1.9999499471923186,2.0000500528076812,2.9894896056894478,3.0105103943105522,0.9822915134956401,1.01770848650436
0.4341537076363637,1.999929675771608,2.0000703242283917,2.988833101901462,3.011166898098538,0.977935138908922,1.0220648610910779
0.4427803074949495,1.9999029701827087,2.0000970298172915,2.9887865167441294,3.0112134832558706,0.9735610485589009,1.026438951441099
0.4514069073535354,1.9998082602746012,2.0001917397253988,2.989410709808678,3.010589290191322,0.9689603525024957,1.0310396474975043
0.4600335072121212,1.99970146337828,2.0002985366217203,2.9884857770933753,3.0115142229066247,0.9647925064794963,1.0352074935205036
0.4686601070707071,1.9996866397673057,2.0003133602326946,2.9862075783183646,3.0137924216816354,0.9609528264074771,1.0390471735925229
0.477286706929293,1.9996820632064314,2.000317936793569,2.983995632579933,3.016004367420067,0.956493151277445,1.043506848722555
0.4859133067878788,1.9995713300345206,2.0004286699654794,2.982513854974239,3.017486145025761,0.9516197189316097,1.0483802810683902
0.4945399066464647,1.9995090123533001,2.0004909876466996,2.9834201777946054,3.0165798222053946,0.9475493677676496,1.0524506322323504
0.5031665065050505,1.99939748610295,2.00060251389705,2.9846818668306954,3.0153181331693046,0.9445518304037048,1.0554481695962952
0.5117931063636364,1.999404064746262,2.000595935253738,2.9852385377001895,3.0147614622998105,0.9421198481474848,1.0578801518525152
0.5204197062222222,1.9994019878748688,2.000598012125131,2.983083454173771,3.016916545826229,0.9400017718855057,1.0599982281144944
0.529046306080808,1.999188014505452,2.000811985494548,2.9769210678392293,3.0230789321607707,0.9379881835529394,1.0620118164470604
